C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
6309754,25626163,24126062,26023855,8658235,14662158,3726645,910928,2872806,1952833,10272569,2448176,2417336,11655371,15593474,4666666,16308296,0,909521,7337469,23721751,0,0,0,0,cincinnati-bengals,2022
10333334,16554415,28044208,19728683,3470515,11823532,6643500,2691294,475273,1160000,3696000,7039420,954675,14627883,5647007,20462495,7602323,0,5504590,9047830,26294925,12000,656643,0,0,new-york-jets,2022
7050626,22002343,8114523,18847003,11237500,6525643,9105911,2444666,2972631,1459001,4824663,16220640,2635821,6658749,4443081,11286033,5669424,2833334,705331,24205983,38761648,0,0,0,0,new-england-patriots,2022
8692479,28524011,13901212,11074332,1329025,5167363,10593482,3150000,2607256,942612,4839476,17293624,1053333,15610614,11572500,5560255,3733336,7105000,2633199,19623556,30345777,0,3207000,0,0,miami-dolphins,2022
8613722,24952595,17954971,18505509,5656000,12217802,16391000,941054,1920901,1541250,7629891,6616364,1476537,20506961,8421489,6448795,3227119,11784769,1248168,6161257,23240306,0,1235000,0,0,buffalo-bills,2022
3929200,9333312,14440191,11847617,5325904,6728693,18221031,4350000,943946,1115000,11462909,4407452,2372540,33773568,9160591,6044500,658534,5000000,1683089,6727905,13477143,0,1700000,0,0,seattle-seahawks,2021
7451062,14536966,35112215,8986955,7239358,9707461,11528880,2798201,52134,960000,9937492,5459017,1050218,33049545,11237764,6006026,2685177,1855444,857726,9271678,12897290,0,2420405,0,0,san-francisco-49ers,2021
4417739,9047796,8322414,10183455,0,11732569,17473350,2009200,1075973,1555697,20798644,36390990,1118333,11558438,4677034,2674851,11114889,1941688,84267,11696210,23254088,0,0,0,0,arizona-cardinals,2021
1968268,18031183,1672161,27469057,1692010,5050972,1838659,943419,1845144,906000,6791389,12379750,3687000,46225001,15307492,6090266,1703621,2297236,9200,8786214,19543413,0,0,0,0,los-angeles-rams,2021
6357989,20470098,12739784,23225960,2666666,4841139,9143123,2576405,1043837,1435177,5140000,12042555,1394554,29441484,10034297,5096499,1855952,6803369,1577355,5390179,17822176,0,673333,0,0,carolina-panthers,2021
3092256,15107292,4330050,27766366,3071729,9156345,10544308,984400,494464,850000,13114200,15649509,1223772,28823722,7677358,3746659,3987371,1442732,3590033,12109174,17294718,0,1443333,0,0,atlanta-falcons,2021
2579285,19588120,18041637,14915769,15662000,10717525,995556,3961106,2369775,1175000,10374375,8990997,2663833,22675118,9773568,8159981,97604,3408521,128890,6625237,21130090,0,1276271,0,0,new-orleans-saints,2021
11298886,10939949,8752733,11994768,465000,13985158,9194066,3829319,1468921,1414000,3650000,24363537,2891732,13885680,8153207,4675688,6393616,0,462733,11476176,31824030,0,0,0,0,tampa-bay-buccaneers,2021
5509287,24881850,3174622,11693540,3255831,14572639,5133647,2275994,3563111,728667,7154923,36646250,799200,36042071,5671459,5161649,2219390,2405561,251844,13072340,11434285,0,944385,0,0,detroit-lions,2021
5980000,18536968,20013358,9023462,6895000,4066465,14451812,1630200,157756,987500,4806500,28444918,1075000,15162197,7064895,8173270,3202500,0,2354161,10871055,25852367,0,0,0,0,chicago-bears,2021
5761110,23065532,18782192,17951532,6898234,3501283,13317500,2896666,1891568,887288,7242903,8774055,2658332,33506202,7598790,6076434,2692105,0,442529,6763248,14913172,0,3000000,0,0,minnesota-vikings,2021
1908477,12551996,7216912,8665522,6892000,4119799,6909342,3334800,97834,868491,13666348,30490461,1074389,30175311,6827314,7921250,1209664,4214837,575554,6501211,26096318,0,0,0,0,green-bay-packers,2021
6661857,29631469,16443310,4598304,3937271,8231489,9414748,3907407,2011100,1196000,8373862,5479316,2770566,8947584,13504187,9577000,1012865,6770000,1297887,13660531,23203964,0,1890334,0,0,new-york-giants,2021
6379420,24671385,14200085,20653903,2922666,27322179,4474330,2029093,3683001,692677,8270588,3214433,2608333,25828131,5251414,4084492,969034,16543750,398148,6890714,12320720,0,158222,0,0,washington-commanders,2021
6576734,14606024,18871411,25335309,4202000,14035101,822855,2103600,1941168,1832500,6246145,1825592,683333,37559882,4030213,12330908,555106,880967,228121,12590409,21924074,0,0,0,0,philadelphia-eagles,2021
7654275,16924212,35824337,7655635,589400,14383236,11800000,2873693,1358478,987500,9100000,8510868,1927500,19184387,10038720,6836806,4052371,0,1231836,8823219,33929493,165600,1475465,0,0,dallas-cowboys,2021
2448535,29930198,5657365,8977157,5880222,15329494,9915685,2306250,275464,780000,6395000,33037404,2783333,7910105,14054627,6125000,2263536,7867647,2230195,7280846,16892450,0,3333,0,0,denver-broncos,2021
16664549,11758461,22158360,9770217,5899053,8470938,8667418,3506223,1375870,1366834,16054439,10803402,1250834,27956600,10698004,2868648,4099464,987500,985356,9790584,13944886,0,853334,0,0,las-vegas-raiders,2021
